"knihy_id","isbn","nazev","pocet_stran","rok_vydani","misto_vydani","nakladatel","vydani","druhy_id","jazyky_id","autor","edice"
"4","ISBN 1-85032-167-1","An Introduction to Neural Computing","21","1995","London","International Thomson Computer Press","2","1","2","Aleksander, Igor -- Morton, Helen",""
"6","ISBN 0-201-73723-X","The CERT guide to system and network security practices","447","2001","Boston","Addison-Wesley","","1","2","Allen, Julia H.","SEI series in software engineering"
"12","ISBN 80-85896-91-5","Programujeme v jazyce Visual C++","15","1997","Praha","Computer Press","1","1","1","Andrews, Mark",""
"13","ISBN 80-7178-804-X","Úvod do filosofie","384","2004","Praha","Portál","2","1","1","Anzenbacher, Arno",""
"15","ISBN 80-247-0301-7","Myslíme v jazyku C# : knihovna programátora","307","2002","Praha","Grada","1","1","1","Archer, Tom","Myslíme v--"
"16","ISBN 80-7226-947-X","UML a unifikovaný proces vývoje aplikací : průvodce analýzou a návrhem objektově orientovaného softwaru","387","2003","Brno","Computer Press","1","1","1","Arlow, Jim -- Neustadt, Ila",""
"17","ISBN 978-80-251-1503-9","UML 2 a unifikovaný proces vývoje aplikací : objektově orientovaná analýza a návrh prakticky","567","2007","Brno","Computer Press","2","1","1","Arlow, Jim -- Neustadt, Ila",""
"18","ISBN 80-247-0330-0","Finanční časové řady","220","2003","Praha","Grada Publishing","1","1","1","Arlt, Josef -- Arltová, Markéta","Expert"
"19","ISBN 0-07-882241-6","Advanced Oracle Tuning and Administration","26","1997","Berkeley","Osborne Mc Graw-Hill","","1","2","Aronoff, Eyal -- Loney, Kevin",""
"21","ISBN 80-247-0640-7","Linux : administrace serveru Apache","535","2003","Praha","Grada","1","1","1","Aulds, Charles","Profesional"
"22","ISBN 0-07-709233-3","Information Systems Development: Methodologies, Techniques and Tools","15","1995","London","The McGraw-Hill Comp.","2","1","2","Avison, David E. -- Fitzgerald, G.","Information Systems Series"
"25","ISBN 80-200-0470-X","Teorie množin","462","2001","Praha","Academia","2","1","1","Balcar, Bohuslav -- Štěpánek, Petr",""
"30","ISBN 1-57870-264-X","Writing information security policies","216","2002","Indianapolis","New Riders","","1","2","Barman, Scott",""
"37","ISBN 978-80-247-2279-5","Podnikové informační systémy : podnik v informační společnosti","283","2008","Praha","Grada","2","1","1","Basl, Josef -- Blažíček, Roman","Management v informační společnosti"
"39","ISBN 80-247-0613-X","Teorie omezení v podnikové praxi : zvyšování výkonnosti podniku nástroji TOC","213","2003","Praha","Grada","1","1","1","Basl, Josef -- Majer, Pavel","Management v informační společnosti"
"40","ISBN 0-534-94579-1","Fuzzy Systems Toolbox for use with Matlab","","1994","Boston","PWS Publishing Comp.","","1","2","Beale, Mark -- Demuth, Howard",""
"42","ISBN 80-86419-79-7","Informační systémy pro podporu manažerské práce","223","2005","Praha","Professional Publishing","1","1","1","Bébr, Richard -- Doucek, Petr",""
"43","ISBN 80-247-0300-9","Extrémní programování : knihovna programátora","158","2002","Praha","Grada","","1","1","Beck, Kent","Moderní programování"
"44","ISBN 80-247-0901-5","Programování řízené testy","203","2004","Praha","Grada Publishing","1","1","1","Beck, Kent","Moderní programování"
"45","ISBN 1-85032-169-8","Neural Networks for Economic and Financial Modelling","13","1996","London","Inter.Thompson Computer Press","","1","2","Beltratti, Andrea -- Margarita, Sergio",""
"47","","Aktualizovaný typografický manuál","1","2003","Praha","Kafka design","3","1","1","Beran, Vladimír",""
"48","","Aktualizovaný typografický manuál","1","2005","Praha","Kafka design","4","1","1","Beran, Vladimír",""
"49","ISBN 80-200-1062-9","Dobývání znalostí z databází","366","2003","Praha","Academia","1","1","1","Berka, Petr",""
"50","ISBN 80-7079-676-6","Tvorba znalostních systémů","190","1994","Praha","VŠE","1","1","1","Berka, Petr",""
"53","ISBN 80-200-0860-8","Algebra : (pro učitelské studium)","110","2001","Praha","Academia","1","1","1","Bican, Ladislav",""
"54","ISBN 1-56881-230-2","Spatial augmented reality : merging real and virtual worlds","369","2005","Wellesley","A K Peters","","1","2","Bimber, Oliver -- Raskar, Ramesh",""
"55","ISBN 0-387-31073-8","Pattern recognition and machine learning","738","2006","New York","Springer","","1","2","Bishop, Christopher M","Information science and statistics"
"56","ISBN 80-86686-48-5","Šifrování a biometrika: aneb tajemné bity adotyky","168","2005","Brno","Computer Media","1","1","1","Bitto, Ondřej",""
"59","ISBN 1-56592-609-0","Perl for System Administration","14","2000","Beijing","O\'Reilly","1","1","2","Blank-edelman, David N.",""
"60","ISBN 80-247-1095-1","Jak využít internet v marketingu : krok za krokem k vyšší konkurenceschopnosti","156","2005","Praha","Grada","1","1","1","Blažková, Martina","Manažer"
"61","ISBN 978-80-7413-001-4","HDRI pro fotografy a počítačové grafiky : High Dynamics Range Imaging = zobrazení vysokého dynamického rozsahu","348","2008","Brno","Zoner Press","1","1","1","Bloch, Christian","Encyklopedie - grafika a fotografie"
"63","ISBN 80-85896-90-7","Mistrovství v Oracle 7 : Ovládáme Client - Server Computing","35","1997","Praha","Computer Press","1","1","1","Bobrowski, Steve",""
"65","ISBN 978-80-7201-725-6","Česko-anglický odborný slovník z oblasti ekonomické, obchodní a finanční","1071","2008","Praha","Linde","4","1","2","Bočánková, Milena a kol.",""
"67","ISBN 0-256-16680-3","Accounting Information Systems : Transaction Processing and Controls","24","1996","Chicago","Irwin","4","1","2","Boockholdt, James L.",""
"68","ISBN 0-8053-0594-7","Object Solutions : Managing the Object-Oriented Project","12","1995","Menlo Park","Addison Wesley Publishing","","1","2","Booch, Grady",""
"69","ISBN 0-8053-5340-2","Object-Oriented Analysis and Design with Applications","10","1998","Reading","Addison Wesley Longman","2","1","2","Booch, Grady",""
"70","ISBN 0-201-57168-4","The Unified Modeling Language User Guide","22","1998","Reading","Addison Wesley Longman","","1","2","Booch, Grady -- Rumbaugh, James",""
